[2025-07-04 00:35:16] DEBUG: Logging to console and file: logs\debug_20250704_003516.log
[2025-07-04 00:35:18] DEBUG: Set ALL_PROXY=http://127.0.0.1:7890
[2025-07-04 00:35:18] DEBUG: WSOrderBook connecting …
[2025-07-04 00:35:18] DEBUG: WSLive connecting for 1m …
[2025-07-04 00:35:18] DEBUG: WSSecCandle connecting …
[2025-07-04 00:35:20] DEBUG: start_fetch clicked
[2025-07-04 00:35:20] DEBUG: Loading cache cache\ETH-USDT_1m.parquet
[2025-07-04 00:35:20] DEBUG: Cache newest=1751558580000
[2025-07-04 00:35:20] DEBUG: WSOrderBook subscribed books5
[2025-07-04 00:35:21] DEBUG: WSSecCandle subscribed trades
[2025-07-04 00:35:21] DEBUG: WSLive subscribed candle1m
[2025-07-04 00:35:21] DEBUG: WSOB RAW: {"event":"subscribe","arg":{"channel":"books5","instId":"ETH-USDT"},"connId":"e50d6350"}
[2025-07-04 00:35:21] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.91","6.864151","0","7"],["2574","0.8501","0","2"],["2574.1","0.8538","0","2"],["2574.19","0.485839","0","1"],["2574.2","0.85","0
[2025-07-04 00:35:21] DEBUG: WS1S RAW: {"event":"subscribe","arg":{"channel":"trades","instId":"ETH-USDT"},"connId":"7505820e"}
[2025-07-04 00:35:21] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.91","6.886151","0","8"],["2574","0.8501","0","2"],["2574.1","0.8538","0","2"],["2574.19","0.485839","0","1"],["2574.2","0.85","0
[2025-07-04 00:35:22] DEBUG: WS1S RAW: {"arg":{"channel":"trades","instId":"ETH-USDT"},"data":[{"instId":"ETH-USDT","tradeId":"613509226","px":"2573.9","sz":"0.111417","side":"sell","ts":"1751560519881","count":"3"}]}
[2025-07-04 00:35:23] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.91","6.886151","0","8"],["2574","0.8501","0","2"],["2574.01","0.1","0","1"],["2574.08","0.1","0","1"],["2574.1","0.8538","0","2"
[2025-07-04 00:35:23] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.91","2.377665","0","4"],["2574","0.8501","0","2"],["2574.01","0.1","0","1"],["2574.08","0.1","0","1"],["2574.1","0.8538","0","2"
[2025-07-04 00:35:23] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.91","2.377665","0","4"],["2574","0.8501","0","2"],["2574.08","0.1","0","1"],["2574.1","0.8538","0","2"],["2574.19","0.485839","0
[2025-07-04 00:35:23] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.91","3.80903","0","5"],["2574","0.8501","0","2"],["2574.08","0.1","0","1"],["2574.1","0.8538","0","2"],["2574.19","0.485839","0"
[2025-07-04 00:35:23] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.91","7.426273","0","6"],["2574","0.8501","0","2"],["2574.08","0.1","0","1"],["2574.1","0.8538","0","2"],["2574.19","0.485839","0
