[2025-07-04 00:37:38] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.16","5.5764","0","4"],["2574.24","0.1","0","1"],["2574.27","0.2","0","1"],["2574.28","0.000392","0","1"],["2574.31","0.1","0","1
[2025-07-04 00:37:38] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.16","0.3074","0","2"],["2574.24","0.1","0","1"],["2574.27","0.2","0","1"],["2574.28","0.000392","0","1"],["2574.31","0.1","0","1
[2025-07-04 00:37:39] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.16","0.3074","0","2"],["2574.27","0.2","0","1"],["2574.28","0.000392","0","1"],["2574.35","0.5038","0","2"],["2574.37","0.19084"
[2025-07-04 00:37:39] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.16","0.0284","0","1"],["2574.27","0.2","0","1"],["2574.28","0.000392","0","1"],["2574.35","0.5038","0","2"],["2574.37","0.19084"
[2025-07-04 00:37:39] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","2.01","0","3"],["2574.35","0.5","0","1"],["2574.37","0.19084","0","3"],["2574.39","0.52909","0","1"],["2574.46","0.987432",
[2025-07-04 00:37:39] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","5.958035","0","6"],["2574.35","0.5","0","1"],["2574.37","0.09084","0","2"],["2574.39","0.52909","0","1"],["2574.46","0.9874
[2025-07-04 00:37:39] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","5.958035","0","6"],["2574.35","0.5","0","1"],["2574.37","0.09084","0","2"],["2574.39","0.52909","0","1"],["2574.46","0.9874
[2025-07-04 00:37:40] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","5.975235","0","7"],["2574.35","0.5","0","1"],["2574.37","0.09084","0","2"],["2574.39","0.52909","0","1"],["2574.46","0.9874
[2025-07-04 00:37:40] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","4.444235","0","6"],["2574.35","0.5","0","1"],["2574.37","0.09084","0","2"],["2574.38","0.1","0","1"],["2574.39","0.52909","
[2025-07-04 00:37:40] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","7.773785","0","7"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.37","0.738336","0","3"],["2574.38","0.1"
[2025-07-04 00:37:40] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","9.363785","0","8"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.37","0.738336","0","3"],["2574.38","0.1"
[2025-07-04 00:37:40] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","9.363785","0","8"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.37","0.738336","0","3"],["2574.38","0.1"
[2025-07-04 00:37:40] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","9.363785","0","8"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.37","0.738336","0","3"],["2574.38","0.1"
[2025-07-04 00:37:40] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","9.363785","0","8"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.37","0.738336","0","3"],["2574.38","0.1"
[2025-07-04 00:37:40] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","9.363785","0","8"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.37","0.738336","0","3"],["2574.38","0.1"
[2025-07-04 00:37:41] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","9.363785","0","8"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:41] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","9.364785","0","9"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:41] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.035235","0","8"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:41] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.035235","0","8"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:41] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.238535","0","9"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:41] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.238535","0","9"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:42] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.238535","0","9"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:42] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.035235","0","8"],["2574.29","0.2","0","2"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:42] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.035235","0","8"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:42] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.035235","0","8"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:42] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","3.003262","0","7"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:42] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","5.058324","0","8"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:42] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.260624","0","12"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0"
